time,value
2016-10,101.2666
2016-11,101.3886
2016-12,101.5107
2017-01,101.6272
2017-02,101.7234
2017-03,101.7837
2017-04,101.8026
2017-05,101.7794
2017-06,101.7264
2017-07,101.6426
2017-08,101.5281
2017-09,101.3823
2017-10,101.2046
2017-11,100.9885
2017-12,100.7477
2018-01,100.523
2018-02,100.3298
2018-03,100.1644
2018-04,100.0335
2018-05,99.92602
2018-06,99.82727
2018-07,99.74485
2018-08,99.67423
2018-09,99.60094
2018-10,99.51789
2018-11,99.43185
2018-12,99.34859
2019-01,99.26389
2019-02,99.17365
2019-03,99.06659
2019-04,98.94299
2019-05,98.82545
2019-06,98.7312
2019-07,98.65737
2019-08,98.62048
2019-09,98.62862
2019-10,98.68907
2019-11,98.78266
2019-12,98.87238
2020-01,98.9222
2020-02,98.93209
2020-03,98.92426
2020-04,98.94513
2020-05,99.02246
2020-06,99.19186
2020-07,99.44926
2020-08,99.76189
2020-09,100.0951
2020-10,100.4158
2020-11,100.712
2020-12,100.9849
2021-01,101.2553
2021-02,101.5104
2021-03,101.7352
2021-04,101.8972
2021-05,101.9511
2021-06,101.8839
2021-07,101.7067
2021-08,101.4417
2021-09,101.1151
2021-10,100.7753
2021-11,100.4658
2021-12,100.1944
2022-01,99.95497
2022-02,99.73383
2022-03,99.51965
2022-04,99.30502
2022-05,99.08974
2022-06,98.86522
