time,value
1974-08-01,97.47059
1974-09-01,96.88951
1974-10-01,96.34491
1974-11-01,95.88566
1974-12-01,95.58026
1975-01-01,95.49023
1975-02-01,95.60464
1975-03-01,95.89045
1975-04-01,96.31225
1975-05-01,96.80457
1975-06-01,97.32114
1975-07-01,97.83104
1975-08-01,98.30902
1975-09-01,98.75289
1975-10-01,99.17437
1975-11-01,99.58641
1975-12-01,99.9965
1976-01-01,100.3881
1976-02-01,100.7175
1976-03-01,100.9512
1976-04-01,101.0909
1976-05-01,101.1504
1976-06-01,101.1576
1976-07-01,101.137
1976-08-01,101.1057
1976-09-01,101.093
1976-10-01,101.1232
1976-11-01,101.2206
1976-12-01,101.3788
1977-01-01,101.5666
1977-02-01,101.7593
1977-03-01,101.9286
1977-04-01,102.0412
1977-05-01,102.0896
1977-06-01,102.0744
1977-07-01,102.0083
1977-08-01,101.9131
1977-09-01,101.8173
1977-10-01,101.7374
1977-11-01,101.6749
1977-12-01,101.6355
1978-01-01,101.6306
1978-02-01,101.6702
1978-03-01,101.7886
1978-04-01,101.9565
1978-05-01,102.1262
1978-06-01,102.2537
1978-07-01,102.314
1978-08-01,102.2973
1978-09-01,102.2059
1978-10-01,102.0473
1978-11-01,101.8441
1978-12-01,101.634
1979-01-01,101.4484
1979-02-01,101.2686
1979-03-01,101.0627
1979-04-01,100.8165
1979-05-01,100.5488
1979-06-01,100.271
1979-07-01,99.99687
1979-08-01,99.73831
1979-09-01,99.48539
1979-10-01,99.21745
1979-11-01,98.93228
1979-12-01,98.63705
1980-01-01,98.33367
1980-02-01,98.00493
1980-03-01,97.69255
1980-04-01,97.52279
1980-05-01,97.5892
1980-06-01,97.92503
1980-07-01,98.45586
1980-08-01,99.04989
1980-09-01,99.56602
1980-10-01,99.90267
1980-11-01,100.0342
1980-12-01,100.0083
1981-01-01,99.9046
1981-02-01,99.77602
1981-03-01,99.64838
1981-04-01,99.48968
1981-05-01,99.26945
1981-06-01,99.00373
1981-07-01,98.72763
1981-08-01,98.44547
1981-09-01,98.13426
1981-10-01,97.80651
1981-11-01,97.48357
1981-12-01,97.19067
1982-01-01,96.91439
1982-02-01,96.63599
1982-03-01,96.38596
1982-04-01,96.21295
1982-05-01,96.13406
1982-06-01,96.15549
1982-07-01,96.26453
1982-08-01,96.44646
1982-09-01,96.70482
1982-10-01,97.03349
1982-11-01,97.44427
1982-12-01,97.94648
1983-01-01,98.52744
1983-02-01,99.15985
1983-03-01,99.81173
1983-04-01,100.4482
1983-05-01,101.0324
1983-06-01,101.5305
1983-07-01,101.9261
1983-08-01,102.2202
1983-09-01,102.4345
1983-10-01,102.5778
1983-11-01,102.6565
1983-12-01,102.6724
1984-01-01,102.6291
1984-02-01,102.5149
1984-03-01,102.3224
1984-04-01,102.0602
1984-05-01,101.7584
1984-06-01,101.4418
1984-07-01,101.1432
1984-08-01,100.8821
1984-09-01,100.6757
1984-10-01,100.5302
1984-11-01,100.4316
1984-12-01,100.3584
1985-01-01,100.3016
1985-02-01,100.2481
1985-03-01,100.2039
1985-04-01,100.1675
1985-05-01,100.1348
1985-06-01,100.1063
1985-07-01,100.0715
1985-08-01,100.04
1985-09-01,100.0172
1985-10-01,100.0098
1985-11-01,100.0247
1985-12-01,100.0574
1986-01-01,100.085
1986-02-01,100.0951
1986-03-01,100.0885
1986-04-01,100.0742
1986-05-01,100.0572
1986-06-01,100.0255
1986-07-01,99.97499
1986-08-01,99.92125
1986-09-01,99.87389
1986-10-01,99.84425
1986-11-01,99.85546
1986-12-01,99.93531
1987-01-01,100.0949
1987-02-01,100.3103
1987-03-01,100.5356
1987-04-01,100.7418
1987-05-01,100.9125
1987-06-01,101.0314
1987-07-01,101.0792
1987-08-01,101.034
1987-09-01,100.9008
1987-10-01,100.7107
1987-11-01,100.5184
1987-12-01,100.3848
1988-01-01,100.3172
1988-02-01,100.3063
1988-03-01,100.3397
1988-04-01,100.4022
1988-05-01,100.4804
1988-06-01,100.5521
1988-07-01,100.5952
1988-08-01,100.6141
1988-09-01,100.6179
1988-10-01,100.6154
1988-11-01,100.6075
1988-12-01,100.5864
1989-01-01,100.5295
1989-02-01,100.4176
1989-03-01,100.2581
1989-04-01,100.0789
1989-05-01,99.90757
1989-06-01,99.77545
1989-07-01,99.69512
1989-08-01,99.66455
1989-09-01,99.66836
1989-10-01,99.68409
1989-11-01,99.70917
1989-12-01,99.74104
1990-01-01,99.77703
1990-02-01,99.80862
1990-03-01,99.80765
1990-04-01,99.72923
1990-05-01,99.55066
1990-06-01,99.25188
1990-07-01,98.83916
1990-08-01,98.34528
1990-09-01,97.84639
1990-10-01,97.41472
1990-11-01,97.11864
1990-12-01,97.00447
1991-01-01,97.07149
1991-02-01,97.30124
1991-03-01,97.63869
1991-04-01,98.0195
1991-05-01,98.39954
1991-06-01,98.74529
1991-07-01,99.00845
1991-08-01,99.14979
1991-09-01,99.17628
1991-10-01,99.12176
1991-11-01,99.04295
1991-12-01,99.00628
1992-01-01,99.05773
1992-02-01,99.18848
1992-03-01,99.36496
1992-04-01,99.52521
1992-05-01,99.6273
1992-06-01,99.6589
1992-07-01,99.64895
1992-08-01,99.63995
1992-09-01,99.67641
1992-10-01,99.78316
1992-11-01,99.93698
1992-12-01,100.0744
1993-01-01,100.1409
1993-02-01,100.1225
1993-03-01,100.0263
1993-04-01,99.88524
1993-05-01,99.72129
1993-06-01,99.58315
1993-07-01,99.50711
1993-08-01,99.52011
1993-09-01,99.62848
1993-10-01,99.82189
1993-11-01,100.0681
1993-12-01,100.3408
1994-01-01,100.596
1994-02-01,100.8038
1994-03-01,100.9585
1994-04-01,101.0559
1994-05-01,101.0988
1994-06-01,101.0936
1994-07-01,101.0559
1994-08-01,101.0014
1994-09-01,100.9312
1994-10-01,100.8376
1994-11-01,100.6966
1994-12-01,100.4969
1995-01-01,100.2327
1995-02-01,99.90614
1995-03-01,99.54964
1995-04-01,99.21803
1995-05-01,98.95595
1995-06-01,98.7811
1995-07-01,98.6795
1995-08-01,98.6153
1995-09-01,98.55929
1995-10-01,98.51233
1995-11-01,98.48978
1995-12-01,98.50703
1996-01-01,98.57596
1996-02-01,98.70391
1996-03-01,98.87782
1996-04-01,99.06125
1996-05-01,99.23277
1996-06-01,99.37238
1996-07-01,99.47039
1996-08-01,99.5481
1996-09-01,99.62174
1996-10-01,99.69672
1996-11-01,99.78173
1996-12-01,99.87304
1997-01-01,99.98004
1997-02-01,100.1112
1997-03-01,100.2527
1997-04-01,100.3993
1997-05-01,100.5458
1997-06-01,100.6859
1997-07-01,100.8082
1997-08-01,100.8958
1997-09-01,100.9541
1997-10-01,100.9846
1997-11-01,100.9819
1997-12-01,100.945
1998-01-01,100.8923
1998-02-01,100.8234
1998-03-01,100.7195
1998-04-01,100.5772
1998-05-01,100.3981
1998-06-01,100.1939
1998-07-01,99.99643
1998-08-01,99.83062
1998-09-01,99.73003
1998-10-01,99.73071
1998-11-01,99.83622
1998-12-01,100.0087
1999-01-01,100.2219
1999-02-01,100.4392
1999-03-01,100.6347
1999-04-01,100.8058
1999-05-01,100.9523
1999-06-01,101.0634
1999-07-01,101.1425
1999-08-01,101.1999
1999-09-01,101.2504
1999-10-01,101.3026
1999-11-01,101.3575
1999-12-01,101.3961
2000-01-01,101.3914
2000-02-01,101.3259
2000-03-01,101.2277
2000-04-01,101.1063
2000-05-01,100.9561
2000-06-01,100.7863
2000-07-01,100.5977
2000-08-01,100.3757
2000-09-01,100.117
2000-10-01,99.80479
2000-11-01,99.44921
2000-12-01,99.06612
2001-01-01,98.71676
2001-02-01,98.44914
2001-03-01,98.27672
2001-04-01,98.1908
2001-05-01,98.16499
2001-06-01,98.14259
2001-07-01,98.09801
2001-08-01,98.03426
2001-09-01,97.99335
2001-10-01,98.04751
2001-11-01,98.2235
2001-12-01,98.49922
2002-01-01,98.81783
2002-02-01,99.1193
2002-03-01,99.34579
2002-04-01,99.4397
2002-05-01,99.3809
2002-06-01,99.17819
2002-07-01,98.886
2002-08-01,98.57394
2002-09-01,98.28439
2002-10-01,98.05637
2002-11-01,97.90572
2002-12-01,97.8046
2003-01-01,97.73093
2003-02-01,97.69617
2003-03-01,97.73383
2003-04-01,97.87183
